,x,sku,sim
214,T106,T217,0.3801827360396222
215,T106,T218,0.33053211042048936
216,T106,T220,0.17103242026424112
217,T106,T219,0.07994765378614059
218,T106,T222,0.3715686192626226
219,T106,T224,0.09531443461479219
220,T106,T226,0.24716083540631875
221,T106,T228,0.24971704493588773
222,T106,T238,0.18567705737104795
223,T106,T215,0.21615528535228326
224,T106,T216,0.24456964352658117
225,T106,T239,0.2429229807720592
226,T106,T245,0.3949146421007583
227,T106,T240,0.49831084897720856
228,T106,T241,0.37261134083967484
229,T106,T244,0.18012596161281208
230,T106,T242,0.12472224815231112
231,T106,T243,0.12375173067233003
232,T106,T246,0.5827872044328274
233,T106,T251,0.39884659545091355
234,T106,T257,0.13023907506110402
235,T106,T262,0.23332184052379765
236,T106,T253,0.39643935973963257
237,T106,T261,0.2643908016854848
238,T106,T260,0.10130212457076156
239,T106,T258,0.13144826431738513
240,T106,T252,0.2481707971355395
241,T106,T269,0.19658734597876695
242,T106,T268,0.1334584418010235
243,T106,T259,0.467905336563347
244,T106,T256,0.21901416483444003
245,T106,T265,0.1957677087996366
246,T106,T264,0.2482560273386677
247,T106,T278,0.22288578680130874
248,T106,T280,0.20975794846124532
249,T106,T282,0.23469877858423963
250,T106,T283,0.10164663102204687
251,T106,T284,0.24859864336021922
252,T106,T281,0.374108522722798
253,T106,T277,0.04915158911258003
254,T106,T273,0.11699912090047872
255,T106,T279,0.2644285415104332
256,T106,T276,0.22221529912685378
257,T106,T275,0.2640856785033621
258,T106,T285,0.24510522407839785
259,T106,T286,0.492987980956998
260,T106,T287,0.39562819307791464
261,T79,T42,0.4675753972788172
262,T79,T102,0.2826638652103393
263,T79,T106,0.18983281698225413
264,T79,T103,0.21578642324228312
265,T79,T75,0.2605237445242357
266,T79,T105,0.24979782271722362
267,T79,T107,0.29724203105295904
268,T79,T76,0.21052594494599358
269,T79,T80,0.21954798977730958
270,T79,T73,0.0931717713983985
271,T79,T71,0.306906536292674
272,T79,T22,0.2542772887056984
273,T79,T10,0.201198278026597
274,T79,T14,0.27303396652093237
275,T79,T40,0.3607870027263485
276,T79,T44,0.3771463624430879
277,T79,T45,0.3803781611623345
278,T79,T69,0.27832284044134614
279,T79,T70,0.25814033698574707
280,T79,T47,0.2825546126569604
281,T79,T3,0.18995010880155458
282,T79,T19,0.19827881796592897
283,T79,T41,0.6013623238899599
284,T79,T9,0.2751856380844002
285,T79,T7,0.3104567701838738
286,T79,T6,0.181195919720021
287,T79,T77,0.18625918915002757
288,T79,T68,0.20126401428835547
289,T79,T55,0.287912972279762
290,T79,T54,0.19438579120459112
291,T79,T53,0.35242550588597293
292,T79,T4,0.21267095522752263
293,T79,T203,0.08770375746924662
294,T79,T274,0.09232949580254951
295,T79,T201,0.18564674246133397
296,T79,T209,0.26977068756952577
297,T79,T211,0.5259435729627328
298,T79,T212,0.36231431516416124
299,T79,T213,0.09690202174127062
300,T79,T205,0.3083985364617184
301,T79,T217,0.11030158772566004
302,T79,T218,0.25789331935763893
303,T79,T220,0.5560868983201567
304,T79,T219,0.434261220405777
305,T79,T222,0.3032765127815565
306,T79,T224,0.6121420743583688
307,T79,T228,0.1971215994942769
308,T79,T229,0.09698426818689557
309,T79,T238,0.015481992171031371
310,T79,T215,0.07108554881937512
311,T79,T216,0.09601884770195766
312,T79,T239,0.3914986370238268
313,T79,T245,0.32499816733440845
314,T79,T240,0.19768033539276286
315,T79,T241,0.3080438765365045
316,T79,T244,0.34855291447673004
317,T79,T242,0.09711248190877629
318,T79,T243,0.199909610407879
319,T79,T246,0.29670857232620207
320,T79,T251,0.15764737566065212
321,T79,T257,0.10923355680598215
322,T79,T262,0.18465373168487104
323,T79,T253,0.22064302958498036
324,T79,T261,0.21614599704214799
325,T79,T260,0.2584808511527736
326,T79,T258,0.10828233476814603
327,T79,T252,0.2012973252059456
328,T79,T269,0.113891436999786
329,T79,T268,0.2079436804828009
330,T79,T267,0.10155842860986135
331,T79,T259,0.292395075177089
332,T79,T256,0.17799312437819229
333,T79,T265,0.11532525736329464
